,ship-city,ship-state,ship-postal-code
0,MUMBAI,Maharashtra,400081.0
1,BENGALURU,Karnataka,560085.0
2,NAVI MUMBAI,Maharashtra,410210.0
3,PUDUCHERRY,Puducherry,605008.0
4,CHENNAI,Tamil Nadu,600073.0
5,GHAZIABAD,Uttar Pradesh,201102.0
6,CHANDIGARH,Chandigarh,160036.0
7,HYDERABAD,Telangana,500032.0
8,HYDERABAD,Telangana,500008.0
9,Chennai,Tamil Nadu,600041.0
10,CHENNAI,Tamil Nadu,600073.0
11,NOIDA,Uttar Pradesh,201303.0
12,Amravati.,Maharashtra,444606.0
13,MUMBAI,Maharashtra,400053.0
14,MUMBAI,Maharashtra,400053.0
15,GUNTAKAL,Andhra Pradesh,515801.0
16,JAIPUR,Rajasthan,302020.0
17,NEW DELHI,Delhi,110074.0
18,Gurgaon,Haryana,122004.0
19,BENGALURU,Karnataka,560017.0
20,TIRUCHIRAPPALLI,Tamil Nadu,620018.0
21,BENGALURU,Karnataka,560040.0
22,HYDERABAD,Telangana,500072.0
23,pune,Maharashtra,411044.0
24,TEZPUR,Assam,784001.0
25,RANCHI,Jharkhand,834002.0
26,BILASPUR,Chhattisgarh,495001.0
27,PUNE,Maharashtra,411052.0
28,BENGALURU,Karnataka,560037.0
29,GUWAHATI,Assam,781003.0
30,THIRUVARUR,Tamil Nadu,613704.0
31,LUCKNOW,Uttar Pradesh,226010.0
32,VISAKHAPATNAM,Andhra Pradesh,530016.0
33,JEYPUR,Odisha,764001.0
34,HYDERABAD,Telangana,500028.0
35,LUCKNOW,Uttar Pradesh,226016.0
36,CHENNAI,Tamil Nadu,600033.0
37,NEW DELHI,Delhi,110092.0
38,NEW DELHI,Delhi,110092.0
39,THIRUVANANTHAPURAM,Kerala,695011.0
40,GREATER NOIDA,Uttar Pradesh,201306.0
41,JABALPUR,Madhya Pradesh,482002.0
42,MUMBAI,Maharashtra,400092.0
43,LUCKNOW,Uttar Pradesh,226017.0
44,MUMBAI,Maharashtra,400076.0
45,KOLKATA,West Bengal,700014.0
46,ONGOLE,Andhra Pradesh,523001.0
47,SECUNDERABAD,Telangana,500017.0
48,HYDERABAD,Telangana,500062.0
49,KEWALPUR,Uttar Pradesh,271881.0
50,CUTTACK,Odisha,753012.0
51,BADLAPUR,Maharashtra,421503.0
52,dimapur,Nagaland,797112.0
53,BENGALURU,Karnataka,560047.0
54,BENGALURU,Karnataka,560076.0
55,WARANGAL,Telangana,506001.0
56,DHAULPUR,Rajasthan,328024.0
57,GUWAHATI,Assam,781029.0
58,Bengaluru,Karnataka,560103.0
59,HYDERABAD,Telangana,500072.0
60,BENGALURU,Karnataka,560023.0
61,NAGPUR,Maharashtra,440022.0
62,NAGPUR,Maharashtra,440022.0
63,GREATER NOIDA,Uttar Pradesh,201306.0
64,THANE,Maharashtra,400607.0
65,Dahod,Gujarat,389151.0
66,RANCHI,Jharkhand,834004.0
67,PUNE,Maharashtra,411014.0
68,BENGALURU,Karnataka,560040.0
69,VIJAPURA,Karnataka,586201.0
70,CHENNAI,Tamil Nadu,600041.0
71,MUMBAI,Maharashtra,400080.0
72,bangalore,Karnataka,560001.0
73,BENGALURU,Karnataka,560098.0
74,BERHAMPUR,Odisha,760002.0
75,HYDERABAD,Telangana,500085.0
76,PUNE,Maharashtra,411045.0
77,TEZPUR,Assam,784001.0
78,HIMMATNAGAR,Gujarat,383001.0
79,Kolkata,West Bengal,700048.0
80,Kolkata,West Bengal,700048.0
81,Kolkata,West Bengal,700048.0
82,HYDERABAD,Telangana,502032.0
83,DEHRADUN,Uttarakhand,248001.0
